Entity,Entity Type,Count,Example Sentence,First Level,Second Level,Third Level,Mapped Entity,Similarity
no change,descriptor,128,there is no change compared with the prior exam .,change,stable,stable,stable,0.8447149822720131
massive,descriptor,22,"brain : there is a massive intraparenchymal hemorrhage centered at the right thalamus and basal ganglia , extending into the right parietal and temporal lobes .",size,qualitative,very_large,very_large,0.8442427905040941
inferior,descriptor,155,"skull : there is a large frontal scalp hematoma extending predominantly in the right frontal scalp , glabella and right supraorbital soft tissues with inferior extension across the nasal bridge .",direction,downwards,downwards,downwards,0.8438218814841937
no larger,descriptor,31,the area of involvement is no larger .,change,stable,stable,stable,0.8434770553524538
significantly increased,descriptor,21,"centered in the right temporal lobe there is a large intracranial hemorrhage which has significantly increased in size compared to the prior study , currently measuring approximately the 7 . 0 x 4 . 2 cm ( previously 4 . 8 x 3 . 3 cm ) , extending posteriorly and superiorly and to the right parietal region . .",change,increase,increase,increase,0.8408272642311827
otherwise largely clear,descriptor,28,paranasal sinuses are otherwise largely clear .,occupancy,empty,empty,empty,0.8404602362478921
not likely,descriptor,10,this is not likely to be of any clinical relevance .,certainty,probably_absent,probably,probably,0.8398950758648084
moderate to large,descriptor,12,a moderate to large right subdural collection is reidentified along the right lateral convexity extending to the vertex .,size,qualitative,medium,medium,0.8394436745005192
early subacute,descriptor,36,interval 4 mm width hyperdense ( acute / early subacute ) small right frontal temporal recurrent subdural hematoma is seen .,temporality,subacute,subacute,subacute,0.8390020096442238
hypoattenuating,descriptor,92,"there are numerous hypoattenuating lesions again seen throughout the brain , primarily within the frontal lobes , unchanged .",density,hypodense,hypodense,hypodense,0.8388098715563398
moderate severity,descriptor,68,brain : there is moderate severity cerebral atrophy with widening of the extra-axial spaces and ventricular dilatation .,severity,moderate,moderate,moderate,0.8385441457142346
old appearing,descriptor,126,old appearing lacunar infarcts in the bilateral basal ganglia .,temporality,chronic,chronic,chronic,0.838194137696318
possibility,descriptor,24,"the ventricles are prominent , somewhat more so than the sulci , suggesting the possibility of normal pressure hydrocephalus .",certainty,possibly_present,possibly,possibly,0.8373185807819828
hyperattenuating,descriptor,79,minor residual hyperattenuating fluid can be seen over the right frontal convexity .,density,hyperdense,hyperdense,hyperdense,0.8370950687722098
relatively stable,descriptor,108,"previously referenced contusion at the right temporal pole is relatively stable measuring 19 x 15 mm on today's study , previously 19 x 14 mm .",change,stable,stable,stable,0.8370917016884791
normal-appearing,descriptor,26,"cerebrum , brainstem , and cerebellum remain normal-appearing .",normalcy,normal,normal,normal,0.8364812660079295
partially calcified,descriptor,261,this could represent a partially calcified mass or vascular anomaly with associated hemorrhage .,composition,solid,calcified,calcified,0.8350831822005631
within normal,descriptor,649,"the ventricles , cisterns and other csf spaces are within normal .",normalcy,normal,normal,normal,0.8349351047085715
essentially unchanged,descriptor,31,mass effect on the adjacent left cerebral hemisphere is essentially unchanged .,change,stable,stable,stable,0.8346538435881389
moderate to severe,descriptor,543,moderate to severe parenchymal brain volume loss .,severity,moderate,moderate,moderate,0.8345795755544613
hypoattenuated,descriptor,21,diffuse hypoattenuated appearance of the periventricular white matter .,density,hypodense,hypodense,hypodense,0.8338420179497895
similar to,descriptor,14,more confluent hypoattenuation involving the right parietal and occipital region is similar to on the 6063 exam and likely related to a remote ischemic insult .,change,stable,stable,stable,0.8336026563369533
normal in size and position,descriptor,1373,the ventricles are normal in size and position .,size,qualitative,medium,medium,0.8323350539904997
not,descriptor,107,there does not appear to be interval change .,certainty,definitely_absent,definitely_absent,no,0.8322207518829204
largely clear,descriptor,92,paranasal sinuses remain largely clear .,occupancy,empty,empty,empty,0.8321847383101997
fluid,descriptor,265,sinuses / orbits : small amount of fluid or mucosal thickening in the left maxillary sinus .,composition,fluid,simple_fluid,simple_fluid,0.8311947346977753
more focal,descriptor,44,no significant change is seen with slight age-related diffuse cerebral atrophy with stable more focal cortical atrophy at the right frontal parietal junction .,distribution,localized,localized,localized,0.830917320925629
relatively clear,descriptor,36,left mastoid appears relatively clear .,occupancy,empty,empty,empty,0.8304279848582036
predominantly clear,descriptor,46,sinuses / orbits : the visualized portions of the paranasal sinuses and mastoid air cells are predominantly clear .,occupancy,empty,empty,empty,0.8289872138440619
slightly worse,descriptor,16,degree of mass effect on the adjacent lateral ventricle from edema may be slightly worse .,change,worsening,worsening,worsening,0.8264243694143539
slight increase,descriptor,33,"there is further effacement of the left lateral ventricle with slight increase in midline shift , now measuring 8 mm .",change,increase,increase,increase,0.8261203695506426
too small,descriptor,12,intraparenchymal portions of hemorrhage are too small for measurement .,size,qualitative,very_small,very_small,0.8253436117109233
no evidence,descriptor,13967,"there is no evidence of acute infarction , or blue or extra-axial hemorrhage on ct .",certainty,definitely_absent,definitely_absent,definitely_absent,0.8246275553717448
mildly improved,descriptor,24,"there is mild-to-moderate bilateral maxillary sinus mucosal thickening and likely a small amount of fluid , mildly improved from prior .",change,improvement,improvement,improvement,0.8231196655839916
insignificant,descriptor,24,"there is probably an insignificant calcified meningioma at the left parietal vertex , with a diameter of 8 mm and a thickness of only 3 mm .",severity,minimal,minimal,minimal,0.8220474208863523
thickened,descriptor,99,walls are thickened consistent with chronic sinus opacification .,change,increase,increase,increase in size,0.8218985251800286
ossified,descriptor,19,1 cm ossified right frontal meningioma stable .,composition,solid,calcified,calcified,0.8214773437378471
resolving,descriptor,165,"right caudate / anterior limb internal capsule hemorrhage redemonstrated , resolving .",change,resolution,resolution,resolution,0.8214103414767334
decreased attenuation,descriptor,1800,"focal areas of decreased attenuation are seen in the subcortical and periventricular white matter , similar to prior exam .",density,hypodense,hypodense,hypodense,0.8202540535969167
more acute,descriptor,15,brain : mixed attenuation subdural collection seen extending across the right cerebral convexity with more acute hyperdense components seen anteriorly ( [date] ) and posteriorly with a gradient density ( [date] ) .,temporality,acute,acute,acute,0.8196530475185403
more severe,descriptor,44,"there is small vessel disease in the centra semiovale bilaterally , more severe on the left than on the right .",severity,severe,severe,severe,0.819448131445764
widely patent,descriptor,29,basal cisterns are widely patent .,patency,patent,patent,patent,0.8193808001773234
fluid-filled,descriptor,23,fluid-filled non expanded sella .,occupancy,fully_filled,fully_filled,fully_filled,0.8180675826300794
no acute,descriptor,38,skull : scalp soft tissues and calvarium demonstrate no acute abnormality .,temporality,acute,acute,acute,0.8178868034677402
dilated,descriptor,670,"dilated ventricular system , slightly increased in comparison to prior with the third ventricle measuring 8 mm previously 6 mm .",caliber,dilated,dilated,dilated,0.8176169330909454
thickening,descriptor,13,"sinuses / orbits : near complete opacification of the left maxillary sinus with thickening of the sinus walls , indicating chronicity .",change,increase,increase,increase in size,0.81727503443149
within normal limits,descriptor,14106,cerebral volume within normal limits .,normalcy,normal,normal,normal,0.816302329472151
largely resolved,descriptor,23,"none the less , ventricle size has diminished since 5 / 5 / 1992 and lateral intraventricular hemorrhage has largely resolved .",change,resolution,resolution,resolution,0.814660610325443
density,descriptor,2083,the right subdural blood is not significantly changed in size or density .,density,mixed,mixed,mixed density,0.8145671569737071
clear other,descriptor,139,remaining visualized paranasal sinuses clear other : n / a,occupancy,empty,empty,empty,0.8134796676695033
extreme,descriptor,10,there is increased density along the basilar cisterns and in the sylvian fissure which is suspicious for subarachnoid blood but the extreme low density of the brain parenchyma could be accentuating normal vessels .,severity,severe,severe,severe,0.8131793234296029
mild chronic,descriptor,13,"patchy areas of mild decreased attenuation are noted throughout the deep and periventricular white matter of the cerebral hemispheres bilaterally , compatible with mild chronic microvascular ischemic disease .",severity,mild,mild,mild,0.8123482883449976
no definite evidence,descriptor,24,there is no definite evidence of hemorrhagic transformation at this time .,certainty,definitely_absent,definitely_absent,definitely_absent,0.8122466683929834
minimally larger,descriptor,24,"left basal ganglia hemorrhage is present , and when measured at the same level as on yesterday's exam , is minimally larger , measuring ap 3 . 2 cm by transverse 4 . 8 cm .",change,increase,increase,increase,0.8122279936321436
fluid filled,descriptor,14,fluid filled non expanded sella .,occupancy,fully_filled,fully_filled,fully_filled,0.8119435119592084
old-appearing,descriptor,10,stop old-appearing fractures of the nasal bone with deviation of the nose to the right .,temporality,chronic,chronic,chronic,0.8095681482805811
better,descriptor,18,"splenium of corpus callosal mass again noted , better characterized on recent brain mri .",change,improvement,improvement,improvement,0.8093728413790326
unremarkable,descriptor,27312,ocular globes and orbital contents are unremarkable .,normalcy,normal,normal,normal,0.8086873229520187
ordinary,descriptor,42,ordinary chronic small-vessel changes of the deep white matter and basal ganglia .,normalcy,normal,normal,normal,0.8084154523092465
lower attenuation,descriptor,11,"lower attenuation of the subdural hematoma versus the previous exam , with only a small portion of residual high attenuation .",density,hypodense,hypodense,hypodense,0.8075147739808061
low attenuation,descriptor,5782,periventricular white matter low attenuation likely secondary to microangiopathy .,density,hypodense,hypodense,hypodense,0.8074904058251383
acute-subacute,descriptor,13,there is an acute-subacute the infarct of the posterior limb of the right internal capsule .,temporality,acute_on_chronic,acute on chronic,acute on chronic,0.8062909635562577
unchanged in size,descriptor,50,the ventricles remain decompressed and are unchanged in size .,change,stable,stable,stable,0.8062167400737621
distant,descriptor,14,"again there is evidence of a distant left frontal craniectomy , and there is underlying atrophy encephalomalacia of the left frontal lobe .",temporality,chronic,chronic,remote,0.8055788905773166
doubtful,descriptor,11,there is trace fluid in the superior pericardial recess of doubtful clinical significance .,certainty,uncertain,cannot rule out,cannot rule out,0.8054325533034441
mild to moderate severity,descriptor,26,brain : there is mild to moderate severity cerebral atrophy with widening of the extra-axial spaces and ventricular dilatation .,severity,mild,mild,mild,0.8052363966680324
atypical,descriptor,15,"there is a focal area of white matter low attenuation adjacent to the right lateral ventricle which may represent changes secondary to microangiopathy , but the appearance is atypical and of uncertain significance .",normalcy,abnormal,abnormal,abnormal,0.8050828092178788
diminutive,descriptor,38,"there is complete opacification of the maxillary and diminutive frontal sinuses , and left side of the sphenoid sinus , with mucoperiosteal thickening .",size,qualitative,very_small,very_small,0.8042357563576884
grossly normal,descriptor,1691,the cerebral hemispheres demonstrate grossly normal gray-white differentiation .,normalcy,normal,normal,normal,0.8028770702889764
without evidence,descriptor,106,ventricles are normal in size without evidence for hydrocephalus .,certainty,definitely_absent,definitely_absent,definitely_absent,0.8022300309064907
few,descriptor,406,there are a few areas of low density in the hemispheric deep white matter typical of old small vessel insults .,quantity,qualitative,multiple,multiple,0.8019606542425379
greater,descriptor,113,cerebellar atrophy slightly greater than cerebral atrophy .,change,increase,increase,larger,0.8018943031319877
moderate degree,descriptor,15,moderate degree of small vessel ischemia involving the periventricular and subcortical white matter .,severity,moderate,moderate,moderate,0.8017670934393119
complete resolution,descriptor,13,brain : complete resolution of previously seen minor left-sided subdural hematoma .,change,resolution,resolution,resolution,0.801058414586322
unlikely,descriptor,40,this is unlikely to be residual from previous subdural in 8746 .,certainty,probably_absent,probably_absent,probably_absent,0.8007859122272089
inferiorly,descriptor,312,"a large amount of soft tissue air and fluid are noted overlying the surgery site , with soft tissue air tracking inferiorly along the right side of the face .",direction,downwards,downwards,downwards,0.8004712497644535
less,descriptor,131,less at midline shift .,change,decrease,decrease,smaller,0.7986025350219113
tiny amount,descriptor,38,a tiny amount of gyriform calcification is noted on the left in the anterior parietal lobe on image 19 .,size,qualitative,very_small,very_small,0.7973080956461509
chronic appearing,descriptor,427,chronic appearing lacunar infarcts within the bilateral basal ganglia .,temporality,chronic,chronic,chronic,0.7965515473050071
present,descriptor,173,again noted is a pericollosal lipoma present .,certainty,definitely_present,definitely_present,definitely_present,0.7958455455027879
acute to subacute,descriptor,32,brain : focus of hypoattenuation with loss of gray-white differentiation and mild local mass effect involving the right anterior insula as well as the right lateral frontal lobe compatible with acute to subacute infarction .,temporality,acute_on_chronic,acute on chronic,acute on chronic,0.7953357198573109
right-sided,descriptor,292,there has been previous right-sided craniotomy .,direction,right_to_left,right-to-left,right-to-left,0.7951658479888221
noncalcified,descriptor,12,calcified multiple calcified and noncalcified nodules are identified and are most likely benign and chronic .,composition,solid,soft_tissue,soft_tissue,0.7945970485521665
minimal amount,descriptor,36,minimal amount of residual subdural fluid on the right is noted .,severity,minimal,minimal,minimal,0.7943321071019779
grossly intact,descriptor,160,skull : calvarium appears grossly intact .,integrity,intact,intact,intact,0.7942525574815529
appropriate size,descriptor,240,brain : the ventricles and sulci appropriate size for patient's age .,size,qualitative,medium,medium,0.794055704884409
older,descriptor,15,this is stable compared with an older study .,temporality,chronic,chronic,chronic,0.7935796058161988
grossly clear,descriptor,183,sinuses and mastoids grossly clear .,occupancy,empty,empty,empty,0.7932220245088585
unerupted,descriptor,10,unerupted wisdom teeth are identified .,integrity,intact,intact,intact,0.7930722756904769
long-standing,descriptor,14,"long-standing low-attenuation in the cortical and subcortical lateral left temporal lobe , likely posttraumatic given head ct findings 11 / 05 / 2014 .",temporality,chronic,chronic,chronic,0.7930156668892973
nearly resolved,descriptor,18,"nearly resolved left ventricular entrapment , mild residual hydrocephalus . 6 mm left-to-right midline shift .",change,resolution,resolution,resolution,0.7928987763646975
increased attenuation,descriptor,263,there are subtle areas of subcentimeter sized increased attenuation in the right parietal cortex adjacent to the area where the shunt catheter penetrates the brain superficially .,density,hyperdense,hyperdense,hyperdense,0.7927776316057693
nearly confluent,descriptor,12,"there is extensive for age low-density in the bilateral cerebral white matter , nearly confluent around the lateral ventricles .",distribution,confluent,confluent,confluent,0.7927245750988462
not acute,descriptor,20,there is a new area of low density in the right posterior frontal white matter on image number 19 consistent with a white matter infarct in the interval since 11 / 11 / 2020 but not acute .,temporality,chronic,chronic,chronic,0.7926756732174989
otherwise clear,descriptor,165,paranasal sinuses otherwise clear .,occupancy,empty,empty,empty,0.7923722471741838
enhanced,descriptor,14,"patient motion blurs several of the images on the unenhanced and the enhanced images , though a diagnostic study was obtained .",change,increase,increase,increasing,0.7917235708522904
suspicion,descriptor,12,"there is suspicion for possible underlying mass , although exact measurements are fairly difficult .",malignancy_status,probably_malignant,probably_malignant,probably_malignant,0.7916885372985976
mega,descriptor,12,mega cisterna magna .,size,qualitative,very_large,very_large,0.7911537244038277
not new,descriptor,43,there is decreased density in the basal ganglia bilaterally which is not new and is consistent with previous lacunar infarctions .,temporality,chronic,chronic,chronic,0.7910908406278347
changed,descriptor,19,"overall , appearance is not significant changed relative to most recent ct .",change,appearance,appearance,appearance,0.7908945179008405
slightly increased in size,descriptor,10,"brain : previously identified subtle hyperdensity at the left thalamic capsular region again seen , measuring slightly increased in size at up to approximately 1 cm , previously 7 mm ( series 3 , image 19 ) .",change,increase,increase,increase,0.7904831978836456
reduced,descriptor,54,"the subacute right basal ganglia / thalamic hemorrhage demonstrates evolutionary changes , with indistinct hyperdense component currently measuring 2 . 1 x 1 . 5 cm ( formerly 3 . 7 x 2 . 0 cm ) and with reduced associated mass effect .",caliber,reduced,reduced,reduced,0.7903317819830202
milder,descriptor,37,there is milder mucosal thickening in the left sphenoid and bilateral frontal sinuses .,severity,mild,mild,mild,0.7899014635130636
mildly decreased,descriptor,54,"subdural hematoma along the left aspect of the falx posteriorly in the parietal region and extending along the tentorium has also mildly decreased in size , measuring up to 8 mm in thickness ( previously 9 mm ) .",change,decrease,decrease,decrease,0.7897583900470001
slightly hyperdense,descriptor,38,"slightly hyperdense posterior right parietal subdural hematoma 6 mm thick , decreased in thickness , previously 8 mm thick .",density,hyperdense,hyperdense,hyperdense,0.7886559179238746
associated,descriptor,109,"brain : stable sequela of prior left cerebellar infarct with associated encephalomalacia ( image 5 , series 2 ) .",certainty,definitely_present,definitely_present,with,0.7874964197317027
relatively unchanged,descriptor,66,brain : intraparenchymal hemorrhage centered at the left frontal white matter relatively unchanged in size and distribution .,change,stable,stable,stable,0.7870759742993229
very similar,descriptor,22,this is very similar to prior study 3 / 5 / 1994 .,change,stable,stable,stable,0.7868481382596468
expanded,descriptor,73,expanded empty sella .,size,qualitative,large,large,0.7865293472319395
not enhance,descriptor,12,the lesion does do not enhance following contrast administration .,enhancement,absent,absent,absent,0.7860401643864524
higher density,descriptor,43,"there is an abnormal predominantly low density left extra-axial fluid collection along the frontoparietal region , with a higher density along its medial margin as shown on image 16 of series #2 .",density,hyperdense,hyperdense,hyperdense,0.7857396963566505
significantly decreased,descriptor,18,other : right frontal scalp hematoma has significantly decreased in size since the prior study .,change,decrease,decrease,decrease,0.7857346511550086
overall size,descriptor,27,"predominantly low-density subdural collections with a small amount of hyperdense blood products have not significantly changed in overall size , measuring up to 9 mm in thickness on the right and 6 mm on the left .",size,numeric,numeric,numeric,0.7853731213734865
distended,descriptor,13,mildly distended left lateral ventricle unchanged .,caliber,dilated,dilated,dilated,0.7851458014595936
mild-to-moderate,descriptor,367,subcortical and deep cerebral white matter hypoattenuation is unchanged and compatible with mild-to-moderate chronic small vessel ischemic disease .,severity,mild,mild,mild,0.7847465222041814
slightly less,descriptor,12,"mild left hemispheric sulcal effacement , predominantly in the parietal region , is similar to the prior study . 2 mm of rightward midline shift does not appear significantly changed , although there does appear to be slightly less effacement of the lateral ventricles .",change,decrease,decrease,decrease,0.7846648815812264
small portion,descriptor,14,"lower attenuation of the subdural hematoma versus the previous exam , with only a small portion of residual high attenuation .",size,qualitative,small,small,0.7830217515238606
low-attenuation,descriptor,2765,low-attenuation changes in the deep white matter consistent with small vessel ischemia .,density,hypodense,hypodense,hypodense,0.7827087722273833
excluded,descriptor,12,adenoids cannot be excluded .,certainty,definitely_absent,definitely_absent,without,0.7825499836768148
potentially,descriptor,48,"there is also a tiny focus of layering acute hemorrhage at the vertex , likely subdural but potentially reflecting a tiny focus of subarachnoid hemorrhage ( coronal image 36 of series 7 ) .",certainty,possibly_present,possibly_present,possibly_present,0.7824713985971694
nonacute,descriptor,193,the paranasal sinuses and mastoids are nonacute .,temporality,chronic,chronic,chronic,0.7805542854973615
high density,descriptor,460,"there is area of high density noted , likely postoperative bleeding .",density,hyperdense,hyperdense,hyperdense,0.7804391674952966
benign-appearing,descriptor,81,benign-appearing calcifications the basal ganglia bilaterally and the fourth ventricle or stable .,malignancy_status,probably_benign,probably_benign,probably_benign,0.7795321494604474
small amounts,descriptor,45,there are small amounts of decreased density in the deep white matter of both cerebral hemispheres consistent with chronic small vessel ischemic type change .,quantity,qualitative,multiple,multiple,0.7781465714186134
effaced,descriptor,98,"effaced cisterna magna , and partially effaced pre medullary and pre pontine cisterns .",composition,fluid,simple_fluid,fluid-like,0.7777239416927049
most confluent,descriptor,11,"stable pattern of patchy bilateral cerebral white matter low density , most confluent in the posterior left frontal lobe subcortical white matter .",distribution,confluent,confluent,confluent,0.7775325239278928
normally formed,descriptor,45,the ossicles are normally formed and aligned .,normalcy,normal,normal,normal,0.7746771785007182
regressed,descriptor,90,"regressed left subdural hematoma , virtually resolved .",change,decrease,decreased,decreased,0.774608338262972
acute / subacute,descriptor,508,"specifically , no evidence of acute post-traumatic intracranial hemorrhage , no definite regions of acute / subacute cerebral ischemia , no focal mass , mass effect , hydrocephalus or abnormal intra or extra-axial fluid collections .",temporality,acute,acute,acute,0.7737890422641281
relatively maintained,descriptor,35,gray-white differentiation relatively maintained .,change,stable,stable,stable,0.7735085868741978
low density,descriptor,3123,mild patchy white matter low density in both cerebral hemispheres .,density,hypodense,hypodense,hypodense,0.7727220529847189
minimally decreased,descriptor,19,"this measures 4 mm thick , minimally decreased from 5 mm on previous study .",severity,minimal,minimal,minimal,0.7709532098335292
markedly,descriptor,42,the maxillary sinus disease has markedly improved from the previous examination .,severity,mild,mild,mild,0.7705650171078907
posteriorly,descriptor,665,"subdural hematoma along the left aspect of the falx posteriorly in the parietal region and extending along the tentorium has also mildly decreased in size , measuring up to 8 mm in thickness ( previously 9 mm ) .",direction,posterior_to_anterior,posterior-to-anterior,posterior-to-anterior,0.7699367867288851
bulky,descriptor,35,bulky dural calcifications .,size,qualitative,large,large,0.7694705546896073
similar appearance,descriptor,17,"except for the electrodes , similar appearance to preoperative scan .",change,stable,stable,stable,0.7684638329649733
enhance,descriptor,22,only normal vascular structures enhance following contrast .,change,increase,increase,increasing,0.7682602651064464
size,descriptor,6978,the right subdural blood is not significantly changed in size or density .,change,increase,increase,larger,0.7682464055891021
otherwise preserved,descriptor,53,the gray-white matter distinction is otherwise preserved .,integrity,intact,intact,intact,0.7681233978970751
markedly decreased,descriptor,12,"markedly decreased left extra-axial fluid collection subjacent to cranioplasty , previously 3 . 4 cm in transaxial dimension , now 4 mm .",change,decrease,decrease,decreasing,0.7678495373549515
enhancing,descriptor,522,no enhancing lesions .,change,increase,increase,increasing,0.7671123162000809
focal area,descriptor,10,"other : focal area of defect in the right maxilla at the lateral incisor tooth , chronic .",distribution,localized,localized,localized,0.7649850026103319
significantly changed,descriptor,92,"mild left hemispheric sulcal effacement , predominantly in the parietal region , is similar to the prior study . 2 mm of rightward midline shift does not appear significantly changed , although there does appear to be slightly less effacement of the lateral ventricles .",change,improvement,improvement,improved,0.7647676377839315
minimally enlarged,descriptor,20,the fourth ventricle is minimally enlarged .,size,qualitative,large,large,0.7645770573156941
absent,descriptor,66,the lenses of the globes are absent suggestive of previous bilateral cataract surgery .,certainty,definitely_absent,definitely_absent,without,0.7644045985645276
none,descriptor,23734,other : none,severity,minimal,minimal,minimal,0.7641218220606877
slightly greater,descriptor,15,"brain : no evidence of acute infarction , hemorrhage , hydrocephalus , extra-axial collection . 18 mm pineal cyst with density slightly greater csf , known from previous mr where there are no superimposed nodules septations .",density,hyperdense,hyperdense,hyperdense,0.7637703888222958
hyper density,descriptor,12,a hyper density centered in the right thalamus and posterior limb of the right internal capsule is compatible with acute hemorrhage measuring 17 x 14 x 20mm .,density,hyperdense,hyperdense,hyperdense,0.7631604871076839
less pronounced,descriptor,18,"this finding is less pronounced than on the ct of the orbits from february 10 , 2003 .",severity,mild,mild,mild,0.7627334830698244
mildly enlarged,descriptor,86,stable mildly enlarged ventricles and subarachnoid spaces .,size,qualitative,large,large,0.7627140993243006
good position,descriptor,30,craniotomy flap in good position .,position,normal_position,normal_position,normal_position,0.7626070736799059
regional,descriptor,401,no significant regional mass effect or edema .,distribution,localized,localized,localized,0.7620951302036956
normal size for age,descriptor,32,"ventricles : the ventricles , sulci and basilar cisterns are normal size for age and are symmetric .",size,qualitative,medium,medium,0.7620740779695317
little,descriptor,61,little change from priors .,quantity,qualitative,multiple,multiple,0.7616069494545936
suspect,descriptor,113,suspect interval soft tissue granulation .,certainty,probably_present,probably_present,probably_present,0.7611696633842614
unchanged size,descriptor,10,brain : 9 mm right convexity subdural hematoma is unchanged size .,change,stable,stable,stable,0.7609580599084267
emergent,descriptor,22,no signs of emergent large vessel occlusion .,temporality,acute,acute,acute,0.7603053816622617
better defined,descriptor,48,"a chronic lacunar infarct is noted within the right caudate , better defined than on the prior study .",margin,well_defined,well_defined,well_defined,0.7602056699588345
mildly worsened,descriptor,12,"there is white matter hypodensity consistent with chronic small vessel ischemic disease , and this is mildly worsened from 7400 .",severity,mild,mild,mild,0.7592413577747253
medially displaced,descriptor,12,chronic medially displaced fracture deformity of the left lamina papyracea .,position,abnormal_position,abnormal_position,abnormal_position,0.7591878189800351
benign appearing,descriptor,56,benign appearing cyst left basal ganglia stable . 10 x 20 mm bony exostosis squamous portion of the left temporal bone unchanged from the prior study .,malignancy_status,definitely_benign,benign,benign,0.7588653546577618
normally located,descriptor,34,the mandible is normally located .,position,normal_position,normal_position,normal_position,0.7587601657816584
minimally improved,descriptor,12,"midline shift measure 6 mm , minimally improved from the prior study with slightly less effacement of the right lateral ventricle .",severity,minimal,minimal,minimal,0.7577988245366912
some,descriptor,401,"improved appearance of both lateral ventricles , some residual right lateral ventricle transependymal edema is possible .",quantity,qualitative,multiple,multiple,0.7571153573050798
higher attenuation,descriptor,30,the right hemispheric subdural collection however now demonstrates a higher attenuation compatible with acute blood and likely related to surgical changes .,density,hyperdense,hyperdense,hyperdense,0.7567295426572673
similar-appearing,descriptor,23,other : similar-appearing asymmetric lateral periorbital soft tissues on the left compared to the right ( [date] ) .,change,stable,stable,stable,0.7562970329472938
most severe,descriptor,22,the atrophy is most severe in the temporal lobes .,severity,severe,severe,severe,0.7558329831473898
persist,descriptor,40,small [date] mm bilateral mostly posterior hyperdense subdural hematomas persist .,change,stable,stable,stable,0.7557481299077838
better characterized,descriptor,16,"there is a vague area of decreased attenuation on the right side of the pons; this is better characterized than on prior studies , and may reflect an infarct of indeterminate age .",change,improvement,improvement,improved,0.7554572026615426
exaggerated,descriptor,10,exaggerated gray-white matter differentiation persists throughout the cerebral hemispheres left greater than right compatible with continued cerebral edema .,change,increase,increase,increased,0.7553932758061132
fluid density,descriptor,40,stable 7 mm fluid density left frontal extra-axial fluid collections .,composition,fluid,simple_fluid,simple_fluid,0.754775775383606
well maintained,descriptor,605,gray-white differentiation is otherwise well maintained without ct evidence of acute large territory infarct .,integrity,intact,intact,intact,0.7547395248317882
persisting,descriptor,12,"small focus of high attenuation in subarachnoid space at the lateral aspect of the right frontal lobe lobe image 12 , persisting on repeat image 40 , question tiny focus of subarachnoid hemorrhage .",change,stable,stable,stable,0.7538845494708202
lower density,descriptor,32,this is lower density than that seen on the left and may be a subacute subdural hemorrhage .,density,hypodense,hypodense,hypodense,0.7534275426480614
vascular,descriptor,24,there are several chronic punctate calcifications projecting over the left cerebral convexity which may be within sulci and vascular .,caliber,dilated,dilated,dilated vessels,0.7534155802938908
grossly stable,descriptor,139,"the patients left frontal meningioma is grossly stable in size from the prior mri from 0688 , though increased in size from the ct of the head performed in 4802; it appears to measure approximately 2 . 4 x 0 . 8 cm .",change,stable,stable,stable,0.7529800858773137
periphery,descriptor,15,gas versus packing material within the periphery of this area .,distribution,localized,localized,focal,0.7528291034623146
high,descriptor,21,"high bifrontal encephalomalacia , with more diffuse right frontal encephalomalacia .",change,increase,increase,increased,0.7522431908025626
more evident,descriptor,10,"there is encephalomalacia involving both cerebellar hemispheres , more evident on the right , reflecting old infarcts , stable .",change,increase,increase,increased,0.7519565574046436
focal areas,descriptor,23,focal areas low-attenuation project within the medial posterior aspect of the left frontal lobe and a secondary projecting within the apex of the left parietal lobe .,distribution,localized,focal,focal,0.7519251790064296
mixed attenuation,descriptor,152,"there is an approximately 1 . 1 cm area of mixed attenuation within the right suprahilar hemisphere ( coronal image 52 , series 5 ) , with associated minimal amount of surrounding vasogenic edema but without associated mass effect , not definitely seen on prior examinations .",density,mixed,mixed,mixed,0.7516891223889589
better appreciated,descriptor,38,"known chronic lacunar infarcts within the deep gray nuclei , some of which were better appreciated on the prior mri of 01 / 26 / 1998 .",change,improvement,improvement,improved,0.7516693041252466
similar appearing,descriptor,11,"a small , similar appearing area is seen within the posterior parietal region on the right .",change,stable,stable,stable,0.7515390206111509
mild amount,descriptor,48,there is a mild amount of subarachnoid hemorrhage .,severity,mild,mild,mild,0.7514407613702698
rightward,descriptor,314,there is approximately 1 . 5 cm of rightward midline shift at the level of the thalami .,direction,right_to_left,right-to-left,right-to-left,0.7512618745451601
well positioned,descriptor,10,the coils appear well positioned .,position,normal_position,normal_position,normal_position,0.7511826533770151
as before,descriptor,181,"there is tentorial calcification on the left , as before .",change,stable,stable,stable,0.7510956350409813
satisfactory,descriptor,120,the calvarium is symetrical and intact the demonstrated paranasal sinuses reveal satisfactory aeration the temporal bones reveal satisfactory aeration .,integrity,intact,intact,intact,0.7509541645333088
similar size,descriptor,20,"grossly , these appear of similar size measuring 1 . 7 cm anterior right frontal region , 2 cm superior right convexity and 1 . 6 cm anterior left frontal region .",size,qualitative,medium,medium,0.7505714643103792
not enlarged,descriptor,57,pituitary not enlarged .,size,qualitative,medium,medium,0.7497637018281926
peripherally calcified,descriptor,11,chronic peripherally calcified subdural collection on the right has chronically seen .,composition,solid,calcified,calcified,0.7496411174744586
presumably,descriptor,114,"no notable adjacent edema , based on location this is presumably a hypertensive bleed if there is history of hypertension .",certainty,probably_present,probably_present,probably_present,0.7493839953575063
