Entity,IRI
Wall of right eyeball,fma.fma58099
Lateral plate of left pterygoid process,fma.fma54689
Skin of buccal part of mouth,fma.fma79753
Left palatine tonsil,fma.fma54974
Solitary tract,fma.fma72619
Gray matter of left superior transverse frontopolar gyrus,fma.fma274432
Periosteum of occipital bone,fma.fma235072
Nasal septum,fma.fma54375
Right accessory meningeal artery,fma.fma79468
Musculature of head proper,fma.fma53665
Right side of maxillary alveolodental arch,fma.fma289703
Right tragicus,fma.fma48975
Skin of left upper eyelid,fma.fma52918
Superior parietal lobule,fma.fma61899
Skin of tip of nose,fma.fma59533
Trunk of right internal carotid artery,fma.fma75866
Left straight gyrus,fma.fma72660
Lumen of trunk of left external carotid artery,fma.fma262471
Trunk of ninth anterior intercostal vein,fma.fma78148
Wall of left pharyngotympanic tube,fma.fma60071
Left middle ethmoidal cell,fma.fma57471
Palpebral conjunctiva of lower eyelid,fma.fma59027
Right posterior transverse collateral sulcus,fma.fma275540
Skin of external ear,fma.fma24775
Superficial fascia of right parotid part of face,fma.fma284896
Trunk of dorsal lingual vein,fma.fma80496
Vasculature of right parietal bone,fma.fma234155
Integument of parietal part of head,fma.fma224190
Distal zone of deep part of masseter,fma.fma319290
Vasculature of endosteum of left inferior nasal concha,fma.fma315509
Trunk of radicular branch of vertebral artery,fma.fma302105
Trunk of right anterior jugular vein,fma.fma66753
Zone of superficial fascia of head,fma.fma86157
Vasculature of cheek,fma.fma74748
Right temporal part of head,fma.fma74806
Left superior colliculus,fma.fma73423
Forebrain,fma.fma61992
Tracheal tributary of inferior thyroid vein,fma.fma78128
Epimysium of left orbicularis oculi,fma.fma47373
Eleventh anterior intercostal vein,fma.fma71206
Inferior occipital gyrus,fma.fma273129
Body of maxilla,fma.fma52846
Segment of maxillary alveolodental arch,fma.fma289713
Posterior transverse temporal gyrus,fma.fma61910
Mucosa of philtrum,fma.fma286390
Digastric branch of posterior auricular artery,fma.fma79415
External naris,fma.fma59645
Zygomatic part of cheek,fma.fma60966
Superior segment of right lingual gyrus,fma.fma274618
Right posterior calcarine sulcus,fma.fma275445
Wall of isthmus of right pharyngotympanic tube,fma.fma60089
Right dorsal intermediate sulcus of spinal cord,fma.fma275511
Right superior labial vein,fma.fma52539
Right conjunctival gland,fma.fma59057
Muscle body of right masseter,fma.fma314325
Left superior thyroid vein,fma.fma50809
Vasculature of right cheek,fma.fma74749
Vasculature of left temporal bone,fma.fma314977
Distal lateral striate branch of middle cerebral artery,fma.fma50386
Posterior sheet of suspensory ligament of right lens,fma.fma58990
Distal region of right masseter,fma.fma319280
Distal tendon of left procerus,fma.fma319546
Branch of left anterior choroidal artery to left amygdaloid body,fma.fma50157
Stylomastoid artery,fma.fma49628
Wall of left eyeball,fma.fma58100
Right optic nerve,fma.fma50875
Tarsal gland of lower eyelid,fma.fma59106
Left levator palpebrae superioris proper,fma.fma63964
Gray matter of right superior transverse frontopolar gyrus,fma.fma274430
Left sublingual vein,fma.fma50838
Right inferior frontal sulcus,fma.fma275319
Trunk of masseteric vein,fma.fma78183
Basal part of pons,fma.fma72244
Gray matter of right superior parietal lobule,fma.fma270610
Right sternocleidomastoid artery,fma.fma49478
Distal zone of right procerus,fma.fma320189
Medial striate branch of left middle cerebral artery,fma.fma50432
Right angular artery,fma.fma49584
Set of subarachnoid cisterns,fma.fma77762
Subarachnoid space of spinal cord,fma.fma322074
Ciliary part of retina,fma.fma58610
Anterior ciliary artery,fma.fma49962
Left vocal fold,fma.fma55459
Right inferior tympanic artery,fma.fma49508
Left superciliary arch,fma.fma54388
Body of right maxilla,fma.fma57684
Mucosa of left tympanic membrane,fma.fma56846
Styloid process of right temporal bone,fma.fma52878
Trunk of left deep cervical vein,fma.fma66714
Tendon of deep part of masseter,fma.fma318817
Left sphenoparietal sinus,fma.fma51405
Trunk of right deep lingual vein,fma.fma80502
Trunk of left superior laryngeal vein,fma.fma66692
Right middle transverse frontopolar gyrus,fma.fma274422
Submucosa of retromolar region,fma.fma314070
Dural venous sinus,fma.fma50762
Synovial membrane of articular capsule of right temporomandibular joint,fma.fma57055
Skin of upper lip proper,fma.fma59379
Artery of left semilunar ganglion,fma.fma79598
Right supra-auricular part of head,fma.fma224224
Organ cavity,fma.fma12237
Posterior choroidal artery,fma.fma50657
Oral cavity proper,fma.fma49182
Inferior transverse frontopolar gyrus,fma.fma274414
Second superior hypophysial artery,fma.fma79602
Trunk of right seventh anterior intercostal vein,fma.fma78159
Cerebral crus,fma.fma72464
Principal inferior olivary nucleus,fma.fma72592
Temple,fma.fma320470
Nasal crest of palatine process of right maxilla,fma.fma59114
Left inferior hypophyseal artery,fma.fma49848
Medullary cavity of right palatine bone,fma.fma314776
Fissure of cerebellum,fma.fma321547
Right ventrolateral prefrontal cortex,fma.fma276200
Posterior segment of eyeball,fma.fma58868
Tributary of common modiolar vein,fma.fma52425
Trunk of left buccal vein,fma.fma316961
Ventral external arcuate tract,fma.fma72631
Lumen of isthmus of right pharyngotympanic tube,fma.fma60092
Gray matter of right inferior parietal lobule,fma.fma272471
Right cerebral crus,fma.fma242160
Posterior septal branch of sphenopalatine artery,fma.fma49809
Peridental branch of right inferior alveolar artery,fma.fma49707
Membrane organ,fma.fma7145
Left upper eyelid,fma.fma54441
Superior part of body of right zygomatic bone,fma.fma318864
Brodmann area 11 of right superior frontal gyrus,fma.fma271346
Septum of sphenoidal sinuses,fma.fma54684
Temporal part of greater wing of sphenoid,fma.fma54704
Branch of anterior choroidal artery,fma.fma50112
Belly of transverse muscle of auricle,fma.fma320033
Bone of right maxilla,fma.fma259773
Subdivision of temporal part of head,fma.fma63869
Brodmann area 25 of right medial frontal gyrus,fma.fma273118
Frontal process of left maxilla,fma.fma57687
Set of right extrinsic auricular muscles,fma.fma61210
Trunk of spinal branch of right vertebral artery,fma.fma302101
Cerebral part of leptomeningeal sac,fma.fma269081
Posterior ligament of left pinna,fma.fma61040
Craniocervical region,fma.fma280881
Right sphenopalatine vein,fma.fma52523
Tonsillar branch of ascending pharyngeal artery,fma.fma79211
Periosteum of right temporal bone,fma.fma314869
Mucosa of paranasal sinus,fma.fma59772
Vasculature of right female breast,fma.fma268925
Anular ligament of left stapes,fma.fma60886
Left external acoustic meatal space,fma.fma242894
Conchal part of left pinna,fma.fma61009
Mucosa of nasal segment of palate,fma.fma289591
Branch of cavernous branch of internal carotid artery,fma.fma268951
Meningeal branch of right vertebral artery,fma.fma50516
Sclera,fma.fma58269
Right rhinal sulcus,fma.fma275299
Cervical part of internal jugular vein,fma.fma80478
Anterior limiting lamina of cornea,fma.fma58273
Vasculature of upper lip,fma.fma286272
Gray matter of orbitobasal segment of frontal lobe,fma.fma274472
Fibrous layer of left eyeball,fma.fma58106
Left callosomarginal artery,fma.fma50348
Left distal medial striate artery,fma.fma50342
Gray matter of right inferior occipital gyrus,fma.fma273137
Superficial fascia of chin,fma.fma60961
Muscular branch of left ophthalmic artery,fma.fma49966
Right supramarginal gyrus,fma.fma72667
Petrous part of internal carotid artery,fma.fma49816
Anastomotic branch of left middle meningeal artery with left lacrimal artery,fma.fma49735
Orbital margin of zygomatic bone,fma.fma317167
Right posterior lens,fma.fma280177
Vasculature of left lacrimal bone,fma.fma259871
Muscle body of occipitalis,fma.fma318364
Superficial fascia of head,fma.fma53659
Trunk of right parotid vein,fma.fma316941
Masseteric artery,fma.fma49739
Precommunicating part of left anterior cerebral artery,fma.fma50076
Neck of malleus,fma.fma52762
Right faucial pillar,fma.fma60023
Superior laryngeal artery,fma.fma49480
Lateral medullary branch of left vertebral artery,fma.fma50539
Basicranium,fma.fma52801
Segment of superficial fascia,fma.fma20366
Capillary lamina of right choroid,fma.fma58441
Collateral trigone of lateral ventricle,fma.fma83702
Skin of chin,fma.fma53658
Right half of septum pellucidum,fma.fma301308
Periosteum of left nasal bone,fma.fma236787
Zone of parietal bone,fma.fma57068
Neural network of left maxilla,fma.fma314895
Heterogeneous set of bones,fma.fma317741
Branch of middle meningeal artery,fma.fma49714
Cartilaginous part of left pharyngotympanic tube,fma.fma60060
Musculature of right mandibular part proper of mouth,fma.fma314126
Distal zone of right nasalis,fma.fma320118
Left sixth anterior intercostal vein,fma.fma4788
Zone of continuity,fma.fma11337
Auricularis posterior,fma.fma46857
Episcleral vein,fma.fma51800
Lymphoid nodule of tonsil,fma.fma86018
Peripeduncular nucleus,fma.fma72437
Long limb of left incus,fma.fma270029
Facial artery,fma.fma49549
Vasculature of eye,fma.fma74743
Wall of cartilaginous part of left pharyngotympanic tube,fma.fma60075
Tarsal plate of eyelid,fma.fma59086
Parietal emissary vein,fma.fma50791
Left carotid siphon,fma.fma50111
Brodmann area 6 of left precentral gyrus,fma.fma271561
Right medial orbital gyrus,fma.fma72758
Vasculature of left eye,fma.fma74745
Branch of right anterior choroidal artery to genu of right internal capsule,fma.fma50144
Prevertebral part of vertebral artery,fma.fma50493
Dilatator pupillae,fma.fma49158
External axis of left eyeball,fma.fma58162
Trunk of medial medullary branch of right vertebral artery,fma.fma302125
Prevertebral part of left vertebral artery,fma.fma50498
Skin of eyelid,fma.fma24760
Stylohyoid branch of posterior auricular artery,fma.fma79412
Fourth superior hypophysial artery,fma.fma79608
Distal tendon of left occipitalis,fma.fma319512
Posterior segment of left eyeball,fma.fma58870
Pharyngeal mucosal branch of left ascending pharyngeal artery,fma.fma79210
External part of external acoustic tube,fma.fma61305
Sulcus of auditory tube,fma.fma75761
Vasculature of pons,fma.fma268517
Subarachnoid space of parietal region,fma.fma0327220
Skin of upper lip,fma.fma24765
Sternocleidomastoid branch of right occipital artery,fma.fma49591
Horizontal cell of retina,fma.fma67764
Concha proper of pinna,fma.fma61083
Left subparietal sulcus,fma.fma275399
Stroma of left ciliary body,fma.fma312265
Trunk of right musculophrenic vein,fma.fma78134
Meningeal branch of left vertebral artery,fma.fma50517
Right trigeminal cave,fma.fma296641
Central gray substance of medulla,fma.fma72595
Frontal branch of right superficial temporal artery,fma.fma49673
Superior vestibular nucleus,fma.fma54617
Left lateral occipital sulcus,fma.fma275439
Wall of left lacrimal duct,fma.fma85377
Trunk of middle meningeal vein,fma.fma78180
Gracile fasciculus of medulla,fma.fma72624
Vasculature of bony part of mandible,fma.fma314830
Tarsal gland of left lower eyelid,fma.fma63973
Ventral tegmental decussation,fma.fma72452
Internal part of mouth,fma.fma289698
Branch of left medial superior cerebellar artery to superior cerebellum,fma.fma50701
Sphenoidal process of left palatine bone,fma.fma59148
Petrosal branch of right middle meningeal artery,fma.fma49725
Left ascending pharyngeal artery,fma.fma49499
Occipitalis,fma.fma46758
Distal region of masseter,fma.fma319277
Straight gyrus,fma.fma61893
Short limb of incus,fma.fma52765
Skin of vermilion of upper lip,fma.fma59375
External granular layer of cerebral cortex,fma.fma242264
Pharyngeal mucosal branch of ascending pharyngeal artery,fma.fma79208
Wall of larynx,fma.fma64182
Left callosal sulcus,fma.fma275313
Trunk of right medial occipital artery,fma.fma86136
Posterior tympanic artery,fma.fma49631
Esophageal tributary of left inferior thyroid vein,fma.fma62831
Superior part of right medial frontal gyrus,fma.fma278619
Superior ophthalmic vein,fma.fma51246
Deep palpebral part of left orbicularis oculi,fma.fma59424
Occipital branch of right posterior auricular artery,fma.fma49645
Head proper,fma.fma54545
Lacrimal duct,fma.fma61063
Sphincter pupillae,fma.fma49157
Left medial frontal gyrus,fma.fma273107
Segment of skin,fma.fma12165
Orbital branch of right middle meningeal artery,fma.fma49729
Right antitragus,fma.fma61002
Posterior limb of left stapes,fma.fma270009
Medial medullary branch of right vertebral artery,fma.fma50535
Alveolodental segment 8,fma.fma289747
Brodmann area 32 of left middle frontal gyrus,fma.fma271502
Substantia nigra pars reticulata,fma.fma62908
Neck of right malleus,fma.fma270047
Left polar frontal artery,fma.fma50346
Right arcuate eminence,fma.fma55971
Periosteum of frontal bone,fma.fma234123
Wall of subdivision of external acoustic tube,fma.fma224234
First anterior intercostal vein,fma.fma4741
Cerebellar medulla,fma.fma256377
Temporal fossa compartment,fma.fma314582
Brodmann area 44 of left precentral gyrus,fma.fma271555
Temporal segment of fusiform gyrus,fma.fma274626
Male adult human body,fma.fma67811
Apex of modiolus of left labial part of mouth,fma.fma319423
Distal tendon of right procerus,fma.fma319544
Pontine vein,fma.fma51342
Left tegmen tympani,fma.fma56093
Internal thoracic vein,fma.fma4729
Parotid vein,fma.fma50919
Thoracic part of left common carotid artery,fma.fma52484
Occipitotemporal branch of right medial occipital artery,fma.fma50692
Proximal tendon of alar part of left nasalis,fma.fma319560
Buccal part of vestibule of mouth,fma.fma289320
Region of mucosa of middle ear,fma.fma302773
Superficial fascia of left external ear,fma.fma61714
Vasculature of bone organ,fma.fma224798
Nasal vestibule proper,fma.fma276131
Brodmann area 19 of superior occipital gyrus,fma.fma271674
Glandular branch of left facial artery,fma.fma49566
Anterior intercavernous sinus,fma.fma50774
Bony part of hard palate,fma.fma59857
Lumen of right pharyngotympanic tube,fma.fma60080
Brodmann area 31 of cuneus,fma.fma271740
Parietal branch of right superficial temporal artery,fma.fma49671
Parietal branch of left medial occipital artery,fma.fma50687
Segment of central retinal vein,fma.fma51893
Artery of right precentral sulcus,fma.fma50480
Layer of wall of eyeball,fma.fma58101
Internal granular layer of cerebral cortex,fma.fma242298
White matter of left posterior orbital gyrus,fma.fma270965
Segment of skin of external nose,fma.fma59530
Left side of upper lip proper,fma.fma281632
Vascular layer of left eyeball,fma.fma58108
Belly of temporoparietalis,fma.fma319885
Vasculature of bony part of right maxilla,fma.fma314820
Trunk of segmental medullary branch of right vertebral artery,fma.fma302113
Vasculature of periosteum of right temporal bone,fma.fma315417
Right ventrolateral sulcus of medulla oblongata,fma.fma275495
Keratinized stratified squamous epithelium,fma.fma45568
Superficial branch of descending branch of right occipital artery,fma.fma49616
Posterior parolfactory sulcus,fma.fma83745
Gracile nucleus,fma.fma72602
Left first anterior intercostal vein,fma.fma4795
Left calcarine artery,fma.fma50691
Trunk of left posterior inferior cerebellar artery,fma.fma86071
Tendon of left tensor veli palatini,fma.fma49432
Integument of dorsum of nose,fma.fma224094
Cartilage of right external ear,fma.fma61703
Gray matter of left frontal pole,fma.fma272866
Branch of descending branch of occipital artery,fma.fma49611
Trunk of right dorsal scapular vein,fma.fma66694
Left occipital branch to occipital head of epicranius,fma.fma79406
Inferior pharyngeal constrictor branch of superior thyroid artery,fma.fma79202
Precommunicating part of right anterior cerebral artery,fma.fma50075
Inferior olivary complex,fma.fma72243
Right masticator space,fma.fma84977
Trunk of vein of pterygoid canal,fma.fma78192
Orbital part of lacrimal bone,fma.fma57616
Right substantia nigra pars reticulata,fma.fma73543
Occipital branch to occipital head of epicranius,fma.fma79404
Stroma of iris,fma.fma58526
Gray matter of left lateral orbital gyrus,fma.fma270532
Right gyrus descendens of Ecker,fma.fma274559
Cerebral part of head,fma.fma317760
Epithalamus,fma.fma62009
Medial longitudinal fasciculus of midbrain,fma.fma72454
Limbic system,fma.fma242000
Skin of forehead,fma.fma63883
Right parietal zone of scalp,fma.fma224015
Dental branch of posterior superior alveolar artery,fma.fma49761
Set of skin glands,fma.fma71878
Pupil,fma.fma58252
Occipitotemporal sulcus,fma.fma74518
Paranasal sinus,fma.fma59679
Right auricularis superior,fma.fma48957
Anterior choroidal artery,fma.fma50087
Wall of posterior segment of left eyeball,fma.fma58766
Isthmus segment of bony part of left pharyngotympanic tube,fma.fma285319
Left frontal diploic vein,fma.fma52104
Orbital part of left maxilla,fma.fma54673
Middle part of right external acoustic tube,fma.fma61310
Choroidal fissure,fma.fma74512
Left tympanohyal,fma.fma56471
Cortex of temporal lobe,fma.fma242201
Dental branch of inferior alveolar artery,fma.fma49699
Mastoid antrum,fma.fma55711
Middle superficial cerebral vein,fma.fma50983
Intralaminar part of intra-ocular part of left optic nerve,fma.fma58719
Vasculature of nasal bone,fma.fma236789
Left mammillary artery,fma.fma50450
Lumen of trunk of left posterior spinal artery,fma.fma262419
Nasolacrimal duct,fma.fma9703
Parotid branch of right posterior auricular artery,fma.fma49648
Posterior chamber of right eyeball,fma.fma58083
Neural network of floor of mouth,fma.fma270147
Right eyeball,fma.fma12514
Tarsal gland of right upper eyelid,fma.fma63970
Trunk of circumflex scapular vein,fma.fma77951
Cranial dura mater,fma.fma71236
Perinasal region of lateral half of face,fma.fma0326582
Antihelix,fma.fma60995
Vasculature of left nasal bone,fma.fma236793
Right transverse medullary vein,fma.fma51400
Median palatine suture,fma.fma52966
Superior part of body of zygomatic bone,fma.fma318862
Integument of tip of nose,fma.fma224096
Inferior ophthalmic vein,fma.fma51247
Right pharyngotympanic tube,fma.fma60054
Endosteum of skull bone,fma.fma320752
Choroidal branch of right posterior inferior cerebellar artery to fourth ventricle,fma.fma50529
Collateral sulcus,fma.fma83751
Esophageal tributary of inferior thyroid vein,fma.fma62829
Trunk of vertebral artery,fma.fma76260
Distal zone of left procerus,fma.fma320191
Head of stapes,fma.fma52766
Basicranial part of head proper,fma.fma270201
Cortex of left occipital lobe,fma.fma242221
Branch of left anterior choroidal artery to left lateral geniculate body,fma.fma50143
Artery of left precentral sulcus,fma.fma50481
Right temporal part of leptomeningeal sac,fma.fma318229
Middle temporal branch of middle cerebral artery,fma.fma50466
Alveolodental segment 19,fma.fma289769
Frontal process of right maxilla,fma.fma57686
Parotid branch of right transverse facial artery,fma.fma77975
Left ethmoidal crest,fma.fma57754
Anterior lens proper,fma.fma280155
Brodmann area 9 of left medial frontal gyrus,fma.fma273450
Circular sulcus of right insula,fma.fma275283
Frontal process proper of right maxilla,fma.fma57756
Trunk of left ninth anterior intercostal vein,fma.fma78156
Endosteum of mandible,fma.fma314991
Vasculature of endosteum of parietal bone,fma.fma315451
Frontal bone,fma.fma52734
Gray matter of left middle temporal gyrus,fma.fma270556
Basal vein,fma.fma50990
Oblique muscle of left auricle,fma.fma48988
Short limb of right incus,fma.fma270031
Left infratemporal crest,fma.fma54795
Petrosquamous sinus,fma.fma50777
Lateral branch of right inferior hypophyseal artery,fma.fma49857
Gray matter of left inferior transverse frontopolar gyrus,fma.fma274438
Tonsillar branch of left ascending palatine artery,fma.fma79230
White matter of right occipital lobe,fma.fma261087
Left side of anterior nasal spine,fma.fma59052
Petrous part proper of temporal bone,fma.fma55426
Left lateral pharyngeal space,fma.fma55083
Artery of right postcentral sulcus,fma.fma50483
Segment of skin of head,fma.fma24756
Vein of internal ear,fma.fma52405
Right lateral nasal cartilage,fma.fma59512
Tributary of subclavian vein,fma.fma22930
Anterior glandular branch of left superior thyroid artery,fma.fma49490
Temporal process of zygomatic bone,fma.fma52904
Skeletal cartilage organ,fma.fma302988
Right temporal fossa compartment,fma.fma314584
Neuroglial network of medulla oblongata,fma.fma268490
Cerebral cortex,fma.fma61830
Alveolodental segment 3,fma.fma289737
Left accessory meningeal artery,fma.fma79469
Zygomatic process of maxilla,fma.fma52895
Vasculature of infraorbital part of left cheek,fma.fma314198
Posterior temporal branch of right lateral occipital artery,fma.fma50682
Base proper of mandible,fma.fma59431
Belly of right orbicularis oculi,fma.fma319863
Left vertebral artery,fma.fma4066
Superior ligament of left malleus,fma.fma60894
Right superior conjunctival fornix,fma.fma59021
Anterior communicating artery,fma.fma50169
Anterior branch of posteromedial central branch of left posterior communicating artery,fma.fma50408
Right antitragicus,fma.fma48981
Set of sebaceous glands of lip,fma.fma286425
Right ninth anterior intercostal vein,fma.fma4775
Lower eyelid,fma.fma54442
Epimysium of frontalis,fma.fma319341
Tarsal gland,fma.fma59104
Cavity of left conjunctival sac,fma.fma59085
Posterior part of left sphenoidal concha,fma.fma54930
Left sublingual artery,fma.fma49545
Anteromedial central branch of precommunicating part of left anterior cerebral artery,fma.fma50323
Right axillary vein,fma.fma13330
Integument of infra-orbital part of left cheek,fma.fma224112
Left nasal vestibule proper,fma.fma276135
Left middle meningeal vein,fma.fma50976
Anterior segment of right eyeball,fma.fma58866
Left posterior lateral nasal artery,fma.fma49811
Integument of left parotid part of face,fma.fma224130
Left inferior rostral sulcus,fma.fma275363
Trunk of superior laryngeal vein,fma.fma66690
Belly of procerus,fma.fma314487
White matter of right frontomarginal gyrus,fma.fma274512
Left side of midbrain tegmentum,fma.fma271123
Pharyngeal branch of left ascending pharyngeal artery,fma.fma49522
Anterior hypothalamic region,fma.fma62027
Vomer proper,fma.fma57678
Set of major salivary glands,fma.fma71611
Bony alveolar arch of maxilla,fma.fma55640
Segment of eyeball,fma.fma86144
Anterolateral central branch of middle cerebral artery,fma.fma50376
Superficial fascia,fma.fma9630
Descending branch of occipital artery,fma.fma49608
Base of left stapes,fma.fma270021
Right parietal bone proper,fma.fma57087
Intermediomedial branch of callosomarginal artery,fma.fma50333
Left optic canal space,fma.fma314943
Left cingulate sulcus,fma.fma275255
Maxillary process of left zygomatic bone,fma.fma289674
Set of anatomical spaces,fma.fma71918
Brodmann area 46 of left inferior frontal gyrus,fma.fma271494
Integument of right upper eyelid,fma.fma224082
Superior bulb of left internal jugular vein,fma.fma50817
Lacrimal part of right orbicularis oculi,fma.fma46789
Right temporal part proper of head,fma.fma317811
Transverse muscle of auricle,fma.fma48983
Anterior limb of right stapes,fma.fma270003
Left occipitalis,fma.fma46762
Levator veli palatini branch of right ascending palatine artery,fma.fma79235
Trunk of radicular branch of right vertebral artery,fma.fma302107
Temporal lobe,fma.fma61825
Left lateral half of nose,fma.fma0326698
Anterior orbital gyrus,fma.fma256196
Isthmus of left pharyngotympanic tube,fma.fma60068
Vasculature of zygomatic part of left cheek,fma.fma314204
Bony labyrinth,fma.fma268963
Trunk of left anterior spinal artery,fma.fma302121
Right callosomarginal artery,fma.fma50347
Postcommunicating part of right posterior cerebral artery,fma.fma50641
Right superior thyroid vein,fma.fma50808
Ethmoidal process of right inferior nasal concha,fma.fma54743
Pontine artery,fma.fma50560
Viscerocranium,fma.fma53673
Vasculature of periosteum of right parietal bone,fma.fma315409
Anteromedial frontal branch of callosomarginal artery,fma.fma50332
Medial segment of cerebral hemisphere,fma.fma274534
Right descending palatine artery,fma.fma49792
Upper lip,fma.fma59817
Right lunate sulcus,fma.fma275449
Cranial conduit,fma.fma53165
Left anterior lacrimal crest,fma.fma57751
Left side of lower lip,fma.fma236980
Right ramus of mandible,fma.fma52829
Cistern of lateral cerebral fossa,fma.fma83723
Iridial part of retina,fma.fma58611
Set of all white matter structures of neuraxis,fma.fma279776
Left middle transverse frontopolar gyrus,fma.fma274424
Cavity of internal nose,fma.fma59728
Brodmann area 32 of right medial frontal gyrus,fma.fma274889
Integument of temple region of temporal part of head,fma.fma317797
Oblique muscle of right auricle,fma.fma48987
Gray matter of left middle transverse frontopolar gyrus,fma.fma274444
Right nasalis,fma.fma55606
Optic canal,fma.fma54774
Left temporomandibular joint,fma.fma54834
Trunk of right posterior cerebral artery,fma.fma85070
Temporal part of right greater wing of sphenoid,fma.fma54705
Tentorial basal branch of internal carotid artery,fma.fma70531
Eyebrow region,fma.fma0326597
Branch of posterior superior alveolar artery,fma.fma49760
Right inferior precentral sulcus,fma.fma275349
Buccal part of left masseter,fma.fma314146
Bone of mandible,fma.fma259769
Right temporal part of frontal bone,fma.fma317113
Right recurrent temporal artery,fma.fma50462
Posterosuperior part proper of left nasal cavity,fma.fma276141
Left lesser horn,fma.fma59501
Skin of frontal part of head,fma.fma46501
Subdivision of orbital cavity,fma.fma0329311
Orbital part of left zygomatic bone,fma.fma317183
Right sixth anterior intercostal vein,fma.fma4776
Left parietal emissary vein,fma.fma52004
Occipital part of scalp,fma.fma224005
Orbital process of right palatine bone,fma.fma59144
Subarachnoid fossa,fma.fma83802
Right cerebral hemisphere segment of dura mater,fma.fma266058
Pterygoid fossa,fma.fma84970
Mammary tributary of axillary vein,fma.fma73211
Right hyaloid fossa,fma.fma58844
Parietal lobe proper,fma.fma256220
Tonsillar branch of right ascending palatine artery,fma.fma79229
Mucosa of region of mouth,fma.fma85381
Vasculature of endosteum of right lacrimal bone,fma.fma315467
Precuneal branch of pericallosal artery,fma.fma50339
Adnexa of left eye,fma.fma321945
Subdural space of parietal region,fma.fma321945
Tectospinal tract,fma.fma72620
Trunk of external jugular vein,fma.fma66652
Tail of helical part of left auricular cartilage,fma.fma320957
Space of posterior nasal aperture,fma.fma321375
Musculature of left auriculotemporal part of head,fma.fma270199
Neural layer of right retina,fma.fma58631
Left inferior occipital gyrus,fma.fma273133
Proximal zone of right procerus,fma.fma320195
Right cheek,fma.fma53637
Trunk of left inferior thyroid vein,fma.fma66658
Right zygomatic bone,fma.fma52892
Branch of left anterior choroidal artery to left globus pallidus,fma.fma50151
Temporo-occipital branch of right middle cerebral artery,fma.fma50473
Posterior region of mental part of base of mandible,fma.fma320568
Left tenth anterior intercostal vein,fma.fma71205
Epithelium of right cornea,fma.fma78506
Vein of olfactory gyrus,fma.fma51322
Trunk of left tympanic vein,fma.fma78203
Lumen of lacrimal canaliculus,fma.fma59563
Anterior pole of left eyeball,fma.fma58116
Petrosal branch of middle meningeal artery,fma.fma49719
Distal tendon of tragicus,fma.fma319686
Right external acoustic tube,fma.fma61735
Right hippocampal sulcus,fma.fma272411
Integument of right temporal part of head,fma.fma224178
Sheath of left styloid process,fma.fma314605
Neural tissue of midbrain,fma.fma268529
Anterior perforating branch of right anterior cerebral artery,fma.fma50324
Branch of right anterior choroidal artery to right optic radiation,fma.fma50140
Brodmann area 6 of right medial frontal gyrus,fma.fma273460
Anterior perforating branch of left anterior cerebral artery,fma.fma50325
Sebaceous gland of left lower eyelid,fma.fma59200
Organ segment,fma.fma86140
Right parietal lobe proper,fma.fma256222
Mucosa of incus,fma.fma302789
Muscle body of masseter,fma.fma314322
Integument of auricular part of head,fma.fma224180
Corneal vertex,fma.fma58329
Integument of eyelid,fma.fma224080
Left central sulcus,fma.fma275277
Lateral pontine vein,fma.fma51349
Female adult human body,fma.fma67812
Trunk of parotid vein,fma.fma316939
Vasculature of right inferior nasal concha,fma.fma259883
Gray matter of straight gyrus,fma.fma270498
Pigmented layer of retina,fma.fma58627
Parietal part of leptomeningeal sac,fma.fma318221
Prevertebral branch of ascending pharyngeal artery,fma.fma79214
Left ventrolateral sulcus of spinal cord,fma.fma275501
Cervical branch of vertebral artery,fma.fma76263
Trunk of lateral medullary branch of right vertebral artery,fma.fma302131
Body of hyoid bone,fma.fma59495
Neural network of right parietal bone,fma.fma314879
Opercular part of left inferior frontal gyrus,fma.fma72753
White matter of left frontomarginal gyrus,fma.fma274514
Orbital part of orbicularis oculi,fma.fma46781
Cavity of serous sac,fma.fma11349
Right interpeduncular vein,fma.fma51378
Belly of left frontalis,fma.fma319877
White matter of posterior segment of right paracentral lobule,fma.fma273546
Deep cerebral vein,fma.fma50989
Neural network of nose,fma.fma270125
Bipolar cell of retina,fma.fma67749
Trunk of internal jugular vein,fma.fma79198
White matter of left inferior occipital gyrus,fma.fma273145
Auricularis anterior,fma.fma46856
Anastomotic branch of right anterior inferior cerebellar artery with right superior cerebellar artery,fma.fma50555
Anterior part of inferior nasal concha,fma.fma57596
Set of right intrinsic auricular muscles,fma.fma61208
Skin of face,fma.fma24758
Mammillary artery,fma.fma50448
Lateral branch of auricular branch of posterior auricular artery,fma.fma79397
Neural network of left parietal part of head,fma.fma270089
Superficial fascia of lower lip,fma.fma223082
Articular disk of temporomandibular joint,fma.fma57059
Lateral orbital gyrus,fma.fma62418
Frontal crest,fma.fma57415
Brodmann area 10 of left inferior frontal gyrus,fma.fma271482
Right angle of mouth,fma.fma319532
Mucosa of auditory ossicle,fma.fma302781
Branch of middle cerebral artery,fma.fma50081
Trunk of left internal carotid artery,fma.fma75867
Superior ligament of right malleus,fma.fma60893
Dental branch of right inferior alveolar artery,fma.fma49709
Superficial fascia of left temple,fma.fma320499
Auditory tube branch of left ascending palatine artery,fma.fma79233
Aqueous chamber of right eyeball,fma.fma321531
